Trial,Bay,Block,Row,Range,Expt_15,Name,SFNB 22/9/15
SFNB15,A,1,9,6,Control,Fathom,3
SFNB15,A,1,10,6,Filler,Wheat,
SFNB15,A,1,11,6,Filler,Wheat,
SFNB15,A,1,12,6,CAIGE,5:ZIE14,8
SFNB15,A,1,13,6,CAIGE,6:ZIE14,7
SFNB15,A,1,14,6,CAIGE,12:ZIE14,6
SFNB15,A,1,15,6,CAIGE,14:ZIE14,8
SFNB15,A,1,16,6,CAIGE,15:ZIE14,6
SFNB15,A,1,17,6,Control,Compass,6
SFNB15,A,1,18,6,CAIGE,1:ZIC14,5
SFNB15,A,1,19,6,CAIGE,2:ZIC14,6
SFNB15,A,1,20,6,CAIGE,3:ZIC14,6
SFNB15,A,1,21,6,CAIGE,4:ZIC14,7
SFNB15,A,1,22,6,CAIGE,5:ZIC14,6
SFNB15,A,1,23,6,CAIGE,6:ZIC14,6
SFNB15,A,1,24,6,Control,Baudin,6
SFNB15,A,1,1,7,Control,LaTrobe,8
SFNB15,A,1,2,7,CAIGE,7:ZIC14,6
SFNB15,A,1,3,7,CAIGE,8:ZIC14,3
SFNB15,A,1,4,7,CAIGE,9:ZIC14,6
SFNB15,A,1,5,7,CAIGE,10:ZIC14,4
SFNB15,A,1,6,7,CAIGE,11:ZIC14,7
SFNB15,A,1,7,7,CAIGE,12:ZIC14,6
SFNB15,A,1,8,7,CAIGE,13:ZIC14,6
SFNB15,A,1,9,7,Control,Dash,8
SFNB15,A,1,10,7,CAIGE,14:ZIC14,5
SFNB15,A,1,11,7,CAIGE,15:ZIC14,6
SFNB15,A,1,12,7,CAIGE,16:ZIC14,4
SFNB15,A,1,13,7,CAIGE,17:ZIC14,4
SFNB15,A,1,14,7,CAIGE,18:ZIC14,5
SFNB15,A,1,15,7,CAIGE,19:ZIC14,7
SFNB15,A,1,16,7,CAIGE,20:ZIC14,6
SFNB15,A,1,17,7,Control,Commander,6
SFNB15,A,1,18,7,CAIGE,21:ZIC14,6
SFNB15,A,1,19,7,CAIGE,22:ZIC14,6
SFNB15,A,1,20,7,CAIGE,24:ZIC14,7
SFNB15,A,1,21,7,CAIGE,2:ZIB14,4
SFNB15,A,1,22,7,CAIGE,3:ZIB14,7
SFNB15,A,1,23,7,CAIGE,4:ZIB14,7
SFNB15,A,1,24,7,Control,Hindmarsh,8
SFNB15,A,1,1,8,Control,Fathom,3
SFNB15,A,1,2,8,CAIGE,5:ZIB14,6
SFNB15,A,1,3,8,CAIGE,6:ZIB14,5
SFNB15,A,1,4,8,CAIGE,7:ZIB14,6
SFNB15,A,1,5,8,CAIGE,8:ZIB14,6
SFNB15,A,1,6,8,CAIGE,9:ZIB14,6
SFNB15,A,1,7,8,CAIGE,10:ZIB14,7
SFNB15,A,1,8,8,CAIGE,11:ZIB14,8
SFNB15,A,1,9,8,Control,Buloke,6
SFNB15,A,1,10,8,CAIGE,12:ZIB14,4
SFNB15,A,1,11,8,CAIGE,13:ZIB14,5
SFNB15,A,1,12,8,CAIGE,14:ZIB14,6
SFNB15,A,1,13,8,CAIGE,16:ZIB14,7
SFNB15,A,1,14,8,CAIGE,17:ZIB14,6
SFNB15,A,1,15,8,CAIGE,18:ZIB14,7
SFNB15,A,1,16,8,CAIGE,19:ZIB14,6
SFNB15,A,1,17,8,Control,Dash,8
SFNB15,A,1,18,8,CAIGE,20:ZIB14,8
SFNB15,A,1,19,8,CAIGE,21:ZIB14,7
SFNB15,A,1,20,8,CAIGE,22:ZIB14,6
SFNB15,A,1,21,8,CAIGE,23:ZIB14,6
SFNB15,A,1,22,8,CAIGE,24:ZIB14,6
SFNB15,A,1,23,8,CAIGE,2:ZID14,5
SFNB15,A,1,24,8,Control,Fathom,3
SFNB15,A,1,1,9,Control,Buloke,6
SFNB15,A,1,2,9,CAIGE,3:ZID14,7
SFNB15,A,1,3,9,CAIGE,4:ZID14,6
SFNB15,A,1,4,9,CAIGE,5:ZID14,6
SFNB15,A,1,5,9,CAIGE,6:ZID14,6
SFNB15,A,1,6,9,CAIGE,7:ZID14,4
SFNB15,A,1,7,9,CAIGE,8:ZID14,6
SFNB15,A,1,8,9,CAIGE,9:ZID14,8
SFNB15,A,1,9,9,Control,Schooner,5
SFNB15,A,1,10,9,CAIGE,10:ZID14,8
SFNB15,A,1,11,9,CAIGE,11:ZID14,8
SFNB15,A,1,12,9,CAIGE,12:ZID14,7
SFNB15,A,1,13,9,CAIGE,13:ZID14,7
SFNB15,A,1,14,9,CAIGE,14:ZID14,6
SFNB15,A,1,15,9,CAIGE,15:ZID14,6
SFNB15,A,1,16,9,CAIGE,16:ZID14,8
SFNB15,A,1,17,9,Control,Fleet,4
SFNB15,A,1,18,9,CAIGE,17:ZID14,7
SFNB15,A,1,19,9,CAIGE,18:ZID14,6
SFNB15,A,1,20,9,CAIGE,19:ZID14,5
SFNB15,A,1,21,9,CAIGE,22:ZID14,5
SFNB15,A,1,22,9,CAIGE,23:ZID14,5
SFNB15,A,1,23,9,CAIGE,24:ZID14,3
SFNB15,A,1,24,9,Control,Commander,6
SFNB15,A,1,1,10,Control,Dash,8
SFNB15,A,1,2,10,CAIGE,25:ZID14,7
SFNB15,A,1,3,10,CAIGE,26:ZID14,5
SFNB15,A,1,4,10,CAIGE,27:ZID14,6
SFNB15,A,1,5,10,CAIGE,28:ZID14,5
SFNB15,A,1,6,10,CAIGE,29:ZID14,7
SFNB15,A,1,7,10,CAIGE,31:ZID14,7
SFNB15,A,1,8,10,CAIGE,32:ZID14,7
SFNB15,A,1,9,10,Control,Dash,8
SFNB15,A,1,10,10,CAIGE,33:ZID14,5
SFNB15,A,1,11,10,CAIGE,34:ZID14,7
SFNB15,A,1,12,10,CAIGE,35:ZID14,7
SFNB15,A,1,13,10,CAIGE,36:ZID14,7
SFNB15,A,1,14,10,CAIGE,37:ZID14,6
SFNB15,A,1,15,10,CAIGE,38:ZID14,6
SFNB15,A,1,16,10,CAIGE,39:ZID14,6
SFNB15,A,1,17,10,Control,LaTrobe,8
SFNB15,A,1,18,10,CAIGE,41:ZID14,7
SFNB15,A,1,19,10,CAIGE,42:ZID14,8
SFNB15,A,1,20,10,CAIGE,43:ZID14,5
SFNB15,A,1,21,10,CAIGE,44:ZID14,5
SFNB15,A,1,22,10,CAIGE,45:ZID14,5
SFNB15,A,1,23,10,CAIGE,46:ZID14,6
SFNB15,A,1,24,10,Control,Keel,3
SFNB15,A,1,1,11,Spreader,Dash,
SFNB15,A,1,2,11,Spreader,Dash,
SFNB15,A,1,3,11,Spreader,Dash,
SFNB15,A,1,4,11,Spreader,Dash,
SFNB15,A,1,5,11,Spreader,Dash,
SFNB15,A,1,6,11,Spreader,Dash,
SFNB15,A,1,7,11,Spreader,Dash,
SFNB15,A,1,8,11,Spreader,Dash,
SFNB15,A,1,9,11,Spreader,Dash,
SFNB15,A,1,10,11,Spreader,Dash,
SFNB15,A,1,11,11,Spreader,Dash,
SFNB15,A,1,12,11,Spreader,Dash,
SFNB15,A,1,13,11,Spreader,Dash,
SFNB15,A,1,14,11,Spreader,Dash,
SFNB15,A,1,15,11,Spreader,Dash,
SFNB15,A,1,16,11,Spreader,Dash,
SFNB15,A,1,17,11,Spreader,Dash,
SFNB15,A,1,18,11,Spreader,Dash,
SFNB15,A,1,19,11,Spreader,Dash,
SFNB15,A,1,20,11,Spreader,Dash,
SFNB15,A,1,21,11,Spreader,Dash,
SFNB15,A,1,22,11,Spreader,Dash,
SFNB15,A,1,23,11,Spreader,Dash,
SFNB15,A,1,24,11,Spreader,Dash,
SFNB15,A,1,1,12,Control,Compass,6
SFNB15,A,1,2,12,CAIGE,47:ZID14,7
SFNB15,A,1,3,12,CAIGE,48:ZID14,5
SFNB15,A,1,4,12,CAIGE,49:ZID14,7
SFNB15,A,1,5,12,CAIGE,51:ZID14,6
SFNB15,A,1,6,12,CAIGE,52:ZID14,4
SFNB15,A,1,7,12,CAIGE,53:ZID14,7
SFNB15,A,1,8,12,CAIGE,54:ZID14,7
SFNB15,A,1,9,12,Control,Keel,4
SFNB15,A,1,10,12,CAIGE,55:ZID14,7
SFNB15,A,1,11,12,CAIGE,57:ZID14,8
SFNB15,A,1,12,12,CAIGE,58:ZID14,5
SFNB15,A,1,13,12,CAIGE,59:ZID14,6
SFNB15,A,1,14,12,CAIGE,61:ZID14,7
SFNB15,A,1,15,12,CAIGE,62:ZID14,5
SFNB15,A,1,16,12,CAIGE,63:ZID14,6
SFNB15,A,1,17,12,Control,Schooner,5
SFNB15,A,1,18,12,CAIGE,64:ZID14,7
SFNB15,A,1,19,12,CAIGE,65:ZID14,7
SFNB15,A,1,20,12,CAIGE,66:ZID14,4
SFNB15,A,1,21,12,CAIGE,67:ZID14,7
SFNB15,A,1,22,12,CAIGE,68:ZID14,6
SFNB15,A,1,23,12,CAIGE,69:ZID14,5
SFNB15,A,1,24,12,Control,Compass,6
SFNB15,A,1,1,13,Control,Commander,5
SFNB15,A,1,2,13,CAIGE,71:ZID14,6
SFNB15,A,1,3,13,CAIGE,72:ZID14,5
SFNB15,A,1,4,13,CAIGE,73:ZID14,7
SFNB15,A,1,5,13,CAIGE,74:ZID14,6
SFNB15,A,1,6,13,CAIGE,75:ZID14,6
SFNB15,A,1,7,13,CAIGE,76:ZID14,7
SFNB15,A,1,8,13,CAIGE,77:ZID14,7
SFNB15,A,1,9,13,Control,Schooner,5
SFNB15,A,1,10,13,CAIGE,79:ZID14,6
SFNB15,A,1,11,13,CAIGE,81:ZID14,6
SFNB15,A,1,12,13,CAIGE,82:ZID14,7
SFNB15,A,1,13,13,CAIGE,83:ZID14,7
SFNB15,A,1,14,13,CAIGE,84:ZID14,3
SFNB15,A,1,15,13,CAIGE,85:ZID14,6
SFNB15,A,1,16,13,CAIGE,86:ZID14,5
SFNB15,A,1,17,13,Control,Navigator,4
SFNB15,A,1,18,13,CAIGE,87:ZID14,8
SFNB15,A,1,19,13,CAIGE,88:ZID14,7
SFNB15,A,1,20,13,CAIGE,89:ZID14,4
SFNB15,A,1,21,13,CAIGE,91:ZID14,6
SFNB15,A,1,22,13,CAIGE,92:ZID14,5
SFNB15,A,1,23,13,CAIGE,93:ZID14,5
SFNB15,A,1,24,13,Control,Schooner,6
SFNB15,A,1,1,14,Control,Gairdner,6
SFNB15,A,1,2,14,CAIGE,94:ZID14,4
SFNB15,A,1,3,14,CAIGE,95:ZID14,4
SFNB15,A,1,4,14,CAIGE,96:ZID14,4
SFNB15,A,1,5,14,CAIGE,97:ZID14,5
SFNB15,A,1,6,14,CAIGE,98:ZID14,6
SFNB15,A,1,7,14,CAIGE,99:ZID14,7
SFNB15,A,1,8,14,CAIGE,101:ZID14,5
SFNB15,A,1,9,14,Control,Skipper,4
SFNB15,A,1,10,14,CAIGE,102:ZID14,6
SFNB15,A,1,11,14,CAIGE,103:ZID14,5
SFNB15,A,1,12,14,CAIGE,104:ZID14,6
SFNB15,A,1,13,14,CAIGE,105:ZID14,4
SFNB15,A,1,14,14,CAIGE,107:ZID14,7
SFNB15,A,1,15,14,CAIGE,108:ZID14,7
SFNB15,A,1,16,14,CAIGE,109:ZID14,7
SFNB15,A,1,17,14,Control,Dash,7
SFNB15,A,1,18,14,CAIGE,111:ZID14,7
SFNB15,A,1,19,14,CAIGE,112:ZID14,7
SFNB15,A,1,20,14,CAIGE,113:ZID14,8
SFNB15,A,1,21,14,CAIGE,115:ZID14,3
SFNB15,A,1,22,14,CAIGE,116:ZID14,7
SFNB15,A,1,23,14,CAIGE,117:ZID14,6
SFNB15,A,1,24,14,Control,LaTrobe,8
SFNB15,A,1,1,15,Control,LaTrobe,9
SFNB15,A,1,2,15,CAIGE,121:ZID14,6
SFNB15,A,1,3,15,CAIGE,122:ZID14,5
SFNB15,A,1,4,15,CAIGE,123:ZID14,5
SFNB15,A,1,5,15,CAIGE,124:ZID14,5
SFNB15,A,1,6,15,CAIGE,128:ZID14,5
SFNB15,A,1,7,15,CAIGE,129:ZID14,7
SFNB15,A,1,8,15,CAIGE,131:ZID14,6
SFNB15,A,1,9,15,Control,LaTrobe,7
SFNB15,A,1,10,15,CAIGE,132:ZID14,3
SFNB15,A,1,11,15,CAIGE,133:ZID14,5
SFNB15,A,1,12,15,CAIGE,134:ZID14,5
SFNB15,A,1,13,15,CAIGE,135:ZID14,6
SFNB15,A,1,14,15,CAIGE,136:ZID14,3
SFNB15,A,1,15,15,CAIGE,137:ZID14,7
SFNB15,A,1,16,15,CAIGE,138:ZID14,5
SFNB15,A,1,17,15,Control,Hindmarsh,8
SFNB15,A,1,18,15,CAIGE,139:ZID14,7
SFNB15,A,1,19,15,CAIGE,141:ZID14,6
SFNB15,A,1,20,15,CAIGE,142:ZID14,5
SFNB15,A,1,21,15,CAIGE,143:ZID14,5
SFNB15,A,1,22,15,CAIGE,144:ZID14,5
SFNB15,A,1,23,15,CAIGE,145:ZID14,6
SFNB15,A,1,24,15,Control,SY Rattler,8
SFNB15,A,1,1,16,Control,Dash,9
SFNB15,A,1,2,16,CAIGE,147:ZID14,7
SFNB15,A,1,3,16,CAIGE,148:ZID14,5
SFNB15,A,1,4,16,CAIGE,149:ZID14,6
SFNB15,A,1,5,16,CAIGE,Rihane-03,5
SFNB15,A,1,6,16,CAIGE,Parent19,4
SFNB15,A,1,7,16,Filler,Wheat,
SFNB15,A,1,8,16,Filler,Wheat,
SFNB15,A,1,9,16,Control,Dash,
SFNB15,A,1,10,16,Filler,Wheat,
SFNB15,A,1,11,16,Filler,Wheat,
SFNB15,A,1,12,16,Filler,Wheat,
SFNB15,A,1,13,16,Filler,Wheat,