Trial,Bay,Block,Row,Range,Expt_15,Name,Scald 25/08/2015
Scald,D,1,73,7,Control,Commander,7
Scald,D,1,74,7,CAIGE,5:ZIE14,7
Scald,D,1,75,7,CAIGE,6:ZIE14,1
Scald,D,1,76,7,CAIGE,12:ZIE14,1
Scald,D,1,77,7,CAIGE,14:ZIE14,4
Scald,D,1,78,7,CAIGE,15:ZIE14,8
Scald,D,1,79,7,CAIGE,1:ZIC14,5
Scald,D,1,80,7,CAIGE,2:ZIC14,1
Scald,D,1,81,7,Control,Keel,7
Scald,D,1,82,7,CAIGE,3:ZIC14,3
Scald,D,1,83,7,CAIGE,4:ZIC14,8
Scald,D,1,84,7,CAIGE,5:ZIC14,7
Scald,D,1,85,7,CAIGE,6:ZIC14,4
Scald,D,1,86,7,CAIGE,7:ZIC14,7
Scald,D,1,87,7,CAIGE,8:ZIC14,4
Scald,D,1,88,7,CAIGE,9:ZIC14,4
Scald,D,1,89,7,Control,Schooner,7
Scald,D,1,90,7,CAIGE,10:ZIC14,4
Scald,D,1,91,7,CAIGE,11:ZIC14,3
Scald,D,1,92,7,CAIGE,12:ZIC14,3
Scald,D,1,93,7,CAIGE,13:ZIC14,1
Scald,D,1,94,7,CAIGE,14:ZIC14,5
Scald,D,1,95,7,CAIGE,15:ZIC14,3
Scald,D,1,96,7,Control,Scope,7
Scald,D,1,73,8,Control,Hindmarsh,2
Scald,D,1,74,8,CAIGE,16:ZIC14,8
Scald,D,1,75,8,CAIGE,17:ZIC14,6
Scald,D,1,76,8,CAIGE,18:ZIC14,3
Scald,D,1,77,8,CAIGE,19:ZIC14,1
Scald,D,1,78,8,CAIGE,20:ZIC14,9
Scald,D,1,79,8,CAIGE,21:ZIC14,8
Scald,D,1,80,8,CAIGE,22:ZIC14,7
Scald,D,1,81,8,Control,Skipper,8
Scald,D,1,82,8,CAIGE,24:ZIC14,2
Scald,D,1,83,8,CAIGE,2:ZIB14,8
Scald,D,1,84,8,CAIGE,3:ZIB14,8
Scald,D,1,85,8,CAIGE,4:ZIB14,7
Scald,D,1,86,8,CAIGE,5:ZIB14,8
Scald,D,1,87,8,CAIGE,6:ZIB14,8
Scald,D,1,88,8,CAIGE,7:ZIB14,8
Scald,D,1,89,8,Control,buloke,8
Scald,D,1,90,8,CAIGE,8:ZIB14,7
Scald,D,1,91,8,CAIGE,9:ZIB14,8
Scald,D,1,92,8,CAIGE,10:ZIB14,7
Scald,D,1,93,8,CAIGE,11:ZIB14,7
Scald,D,1,94,8,CAIGE,12:ZIB14,8
Scald,D,1,95,8,CAIGE,13:ZIB14,8
Scald,D,1,96,8,Control,Yagan,8
Scald,D,1,73,9,Control,Yagan,8
Scald,D,1,74,9,CAIGE,14:ZIB14,8
Scald,D,1,75,9,CAIGE,16:ZIB14,7
Scald,D,1,76,9,CAIGE,17:ZIB14,7
Scald,D,1,77,9,CAIGE,18:ZIB14,6
Scald,D,1,78,9,CAIGE,19:ZIB14,8
Scald,D,1,79,9,CAIGE,20:ZIB14,8
Scald,D,1,80,9,CAIGE,21:ZIB14,7
Scald,D,1,81,9,Control,Hindmarsh,1
Scald,D,1,82,9,CAIGE,22:ZIB14,6
Scald,D,1,83,9,CAIGE,23:ZIB14,7
Scald,D,1,84,9,CAIGE,24:ZIB14,6
Scald,D,1,85,9,CAIGE,2:ZID14,8
Scald,D,1,86,9,CAIGE,3:ZID14,8
Scald,D,1,87,9,CAIGE,4:ZID14,8
Scald,D,1,88,9,CAIGE,5:ZID14,8
Scald,D,1,89,9,Control,Navigator,7
Scald,D,1,90,9,CAIGE,6:ZID14,6
Scald,D,1,91,9,CAIGE,7:ZID14,8
Scald,D,1,92,9,CAIGE,8:ZID14,8
Scald,D,1,93,9,CAIGE,9:ZID14,5
Scald,D,1,94,9,CAIGE,10:ZID14,8
Scald,D,1,95,9,CAIGE,11:ZID14,6
Scald,D,1,96,9,Control,Gairdner,8
Scald,D,1,73,10,Control,Hindmarsh,1
Scald,D,1,74,10,CAIGE,12:ZID14,1
Scald,D,1,75,10,CAIGE,13:ZID14,7
Scald,D,1,76,10,CAIGE,14:ZID14,7
Scald,D,1,77,10,CAIGE,15:ZID14,7
Scald,D,1,78,10,CAIGE,16:ZID14,5
Scald,D,1,79,10,CAIGE,17:ZID14,7
Scald,D,1,80,10,CAIGE,18:ZID14,8
Scald,D,1,81,10,Control,Gairdner,8
Scald,D,1,82,10,CAIGE,19:ZID14,8
Scald,D,1,83,10,CAIGE,22:ZID14,8
Scald,D,1,84,10,CAIGE,23:ZID14,4
Scald,D,1,85,10,CAIGE,24:ZID14,7
Scald,D,1,86,10,CAIGE,25:ZID14,8
Scald,D,1,87,10,CAIGE,26:ZID14,7
Scald,D,1,88,10,CAIGE,27:ZID14,8
Scald,D,1,89,10,Control,Compass,8
Scald,D,1,90,10,CAIGE,28:ZID14,6
Scald,D,1,91,10,CAIGE,29:ZID14,8
Scald,D,1,92,10,CAIGE,31:ZID14,8
Scald,D,1,93,10,CAIGE,32:ZID14,8
Scald,D,1,94,10,CAIGE,33:ZID14,6
Scald,D,1,95,10,CAIGE,34:ZID14,6
Scald,D,1,96,10,Control,LaTrobe,1
Scald,D,1,73,12,Control,Skipper,7
Scald,D,1,74,12,CAIGE,35:ZID14,7
Scald,D,1,75,12,CAIGE,36:ZID14,8
Scald,D,1,76,12,CAIGE,37:ZID14,7
Scald,D,1,77,12,CAIGE,38:ZID14,6
Scald,D,1,78,12,CAIGE,39:ZID14,8
Scald,D,1,79,12,CAIGE,41:ZID14,7
Scald,D,1,80,12,CAIGE,42:ZID14,7
Scald,D,1,81,12,Control,Westminster,7
Scald,D,1,82,12,CAIGE,43:ZID14,7
Scald,D,1,83,12,CAIGE,44:ZID14,8
Scald,D,1,84,12,CAIGE,45:ZID14,8
Scald,D,1,85,12,CAIGE,46:ZID14,8
Scald,D,1,86,12,CAIGE,47:ZID14,8
Scald,D,1,87,12,CAIGE,48:ZID14,8
Scald,D,1,88,12,CAIGE,49:ZID14,6
Scald,D,1,89,12,Control,Commander,7
Scald,D,1,90,12,CAIGE,51:ZID14,8
Scald,D,1,91,12,CAIGE,52:ZID14,7
Scald,D,1,92,12,CAIGE,53:ZID14,5
Scald,D,1,93,12,CAIGE,54:ZID14,7
Scald,D,1,94,12,CAIGE,55:ZID14,7
Scald,D,1,95,12,CAIGE,57:ZID14,7
Scald,D,1,96,12,Control,Gairdner,7
Scald,D,1,73,13,Control,Hindmarsh,1
Scald,D,1,74,13,CAIGE,58:ZID14,6
Scald,D,1,75,13,CAIGE,59:ZID14,7
Scald,D,1,76,13,CAIGE,61:ZID14,7
Scald,D,1,77,13,CAIGE,62:ZID14,8
Scald,D,1,78,13,CAIGE,63:ZID14,7
Scald,D,1,79,13,CAIGE,64:ZID14,7
Scald,D,1,80,13,CAIGE,65:ZID14,7
Scald,D,1,81,13,Control,buloke,8
Scald,D,1,82,13,CAIGE,66:ZID14,7
Scald,D,1,83,13,CAIGE,67:ZID14,5
Scald,D,1,84,13,CAIGE,68:ZID14,4
Scald,D,1,85,13,CAIGE,69:ZID14,7
Scald,D,1,86,13,CAIGE,71:ZID14,6
Scald,D,1,87,13,CAIGE,72:ZID14,8
Scald,D,1,88,13,CAIGE,73:ZID14,7
Scald,D,1,89,13,Control,Yagan,8
Scald,D,1,90,13,CAIGE,74:ZID14,7
Scald,D,1,91,13,CAIGE,75:ZID14,8
Scald,D,1,92,13,CAIGE,76:ZID14,8
Scald,D,1,93,13,CAIGE,77:ZID14,8
Scald,D,1,94,13,CAIGE,79:ZID14,8
Scald,D,1,95,13,CAIGE,81:ZID14,7
Scald,D,1,96,13,Control,Schooner,6
Scald,D,1,73,14,Control,Gairdner,8
Scald,D,1,74,14,CAIGE,82:ZID14,8
Scald,D,1,75,14,CAIGE,83:ZID14,8
Scald,D,1,76,14,CAIGE,84:ZID14,3
Scald,D,1,77,14,CAIGE,85:ZID14,8
Scald,D,1,78,14,CAIGE,86:ZID14,8
Scald,D,1,79,14,CAIGE,87:ZID14,8
Scald,D,1,80,14,CAIGE,88:ZID14,8
Scald,D,1,81,14,Control,Compass,8
Scald,D,1,82,14,CAIGE,89:ZID14,8
Scald,D,1,83,14,CAIGE,91:ZID14,7
Scald,D,1,84,14,CAIGE,92:ZID14,8
Scald,D,1,85,14,CAIGE,93:ZID14,8
Scald,D,1,86,14,CAIGE,94:ZID14,8
Scald,D,1,87,14,CAIGE,95:ZID14,8
Scald,D,1,88,14,CAIGE,96:ZID14,8
Scald,D,1,89,14,Control,Yagan,8
Scald,D,1,90,14,CAIGE,97:ZID14,8
Scald,D,1,91,14,CAIGE,98:ZID14,7
Scald,D,1,92,14,CAIGE,99:ZID14,7
Scald,D,1,93,14,CAIGE,101:ZID14,8
Scald,D,1,94,14,CAIGE,102:ZID14,7
Scald,D,1,95,14,CAIGE,103:ZID14,6
Scald,D,1,96,14,Control,Schooner,7
Scald,D,1,73,15,Control,Schooner,7
Scald,D,1,74,15,CAIGE,104:ZID14,7
Scald,D,1,75,15,CAIGE,105:ZID14,8
Scald,D,1,76,15,CAIGE,107:ZID14,3
Scald,D,1,77,15,CAIGE,108:ZID14,4
Scald,D,1,78,15,CAIGE,109:ZID14,7
Scald,D,1,79,15,CAIGE,111:ZID14,7
Scald,D,1,80,15,CAIGE,112:ZID14,7
Scald,D,1,81,15,Control,Scope,8
Scald,D,1,82,15,CAIGE,113:ZID14,7
Scald,D,1,83,15,CAIGE,115:ZID14,7
Scald,D,1,84,15,CAIGE,116:ZID14,4
Scald,D,1,85,15,CAIGE,117:ZID14,7
Scald,D,1,86,15,CAIGE,121:ZID14,6
Scald,D,1,87,15,CAIGE,122:ZID14,3
Scald,D,1,88,15,CAIGE,123:ZID14,8
Scald,D,1,89,15,Control,Baudin,8
Scald,D,1,90,15,CAIGE,124:ZID14,5
Scald,D,1,91,15,CAIGE,128:ZID14,8
Scald,D,1,92,15,CAIGE,129:ZID14,5
Scald,D,1,93,15,CAIGE,131:ZID14,8
Scald,D,1,94,15,CAIGE,132:ZID14,8
Scald,D,1,95,15,CAIGE,133:ZID14,8
Scald,D,1,96,15,Control,Hindmarsh,1
Scald,D,1,73,16,Control,Yagan,8
Scald,D,1,74,16,CAIGE,134:ZID14,8
Scald,D,1,75,16,CAIGE,135:ZID14,8
Scald,D,1,76,16,CAIGE,136:ZID14,4
Scald,D,1,77,16,CAIGE,137:ZID14,6
Scald,D,1,78,16,CAIGE,138:ZID14,4
Scald,D,1,79,16,CAIGE,139:ZID14,7
Scald,D,1,80,16,CAIGE,141:ZID14,8
Scald,D,1,81,16,Control,LaTrobe,2
Scald,D,1,82,16,CAIGE,142:ZID14,7
Scald,D,1,83,16,CAIGE,143:ZID14,6
Scald,D,1,84,16,CAIGE,144:ZID14,7
Scald,D,1,85,16,CAIGE,145:ZID14,6
Scald,D,1,86,16,CAIGE,147:ZID14,2
Scald,D,1,87,16,CAIGE,148:ZID14,7
Scald,D,1,88,16,CAIGE,149:ZID14,7
Scald,D,1,89,16,Control,Hindmarsh,1
Scald,D,1,90,16,CAIGE,Rihane-03,6
Scald,D,1,91,16,CAIGE,Parent19,6