Trial,Bay,Block,Range,Row,Expt_15,Name,SFNB 3/8/16 Z25-31,SFNB 7/10/16 Z55-66
SFNB '16,B,1,6,25,Control,Gairdner,7,6
SFNB '16,B,1,6,26,CAIGE 1,1:LAN15,5,5
SFNB '16,B,1,6,27,CAIGE 1,3:LAN15,5,5
SFNB '16,B,1,6,28,CAIGE 1,4:LAN15,5,6
SFNB '16,B,1,6,29,CAIGE 1,6:LAN15,5,5
SFNB '16,B,1,6,30,CAIGE 1,7:LAN15,6,6
SFNB '16,B,1,6,31,CAIGE 1,8:LAN15,4,3
SFNB '16,B,1,6,32,CAIGE 1,10:LAN15,5,5
SFNB '16,B,1,6,33,Control,Hindmarsh,7,8
SFNB '16,B,1,6,34,CAIGE 1,13:LAN15,5,6
SFNB '16,B,1,6,35,CAIGE 1,14:LAN15,5,6
SFNB '16,B,1,6,36,CAIGE 1,16:LAN15,4,6
SFNB '16,B,1,6,37,CAIGE 1,18:LAN15,4,5
SFNB '16,B,1,6,38,CAIGE 1,19:LAN15,7,6
SFNB '16,B,1,6,39,CAIGE 1,20:LAN15,7,6
SFNB '16,B,1,6,40,CAIGE 1,22:LAN15,6,6
SFNB '16,B,1,6,41,Control,Dash,7,8
SFNB '16,B,1,6,42,CAIGE 1,23:LAN15,5,5
SFNB '16,B,1,6,43,CAIGE 1,25:LAN15,6,6
SFNB '16,B,1,6,44,CAIGE 1,1:ZBS15,6,5
SFNB '16,B,1,6,45,CAIGE 1,3:ZBS15,5,4
SFNB '16,B,1,6,46,CAIGE 1,4:ZBS15,7,5
SFNB '16,B,1,6,47,CAIGE 1,5:ZBS15,6,6
SFNB '16,B,1,6,48,Control,Buloke,6,6
SFNB '16,B,1,7,25,Control,Dash,7,8
SFNB '16,B,1,7,26,CAIGE 1,6:ZBS15,6,5
SFNB '16,B,1,7,27,CAIGE 1,7:ZBS15,6,5
SFNB '16,B,1,7,28,CAIGE 1,8:ZBS15,7,5
SFNB '16,B,1,7,29,CAIGE 1,9:ZBS15,5,nfnb
SFNB '16,B,1,7,30,CAIGE 1,10:ZBS15,6,6
SFNB '16,B,1,7,31,CAIGE 1,11:ZBS15,6,6
SFNB '16,B,1,7,32,CAIGE 1,12:ZBS15,6,5
SFNB '16,B,1,7,33,Control,SY Rattler,8,7
SFNB '16,B,1,7,34,CAIGE 1,16:ZBS15,4,5
SFNB '16,B,1,7,35,CAIGE 1,18:ZBS15,5,4
SFNB '16,B,1,7,36,CAIGE 1,20:ZBS15,4,4
SFNB '16,B,1,7,37,CAIGE 1,21:ZBS15,5,5
SFNB '16,B,1,7,38,CAIGE 1,23:ZBS15,7,5
SFNB '16,B,1,7,39,CAIGE 1,24:ZBS15,5,4
SFNB '16,B,1,7,40,CAIGE 1,25:ZBS15,7,5
SFNB '16,B,1,7,41,Control,La Trobe,3,6
SFNB '16,B,1,7,42,CAIGE 1,28:ZBS15,7,5
SFNB '16,B,1,7,43,CAIGE 1,29:ZBS15,5,nfnb
SFNB '16,B,1,7,44,CAIGE 1,31:ZBS15,8,8
SFNB '16,B,1,7,45,CAIGE 1,32:ZBS15,7,6
SFNB '16,B,1,7,46,CAIGE 1,33:ZBS15,5,4
SFNB '16,B,1,7,47,CAIGE 1,34:ZBS15,3,7
SFNB '16,B,1,7,48,Control,Gairdner,6,7
SFNB '16,B,1,8,25,Control,Dash,8,8
SFNB '16,B,1,8,26,CAIGE 1,36:ZBS15,6,7
SFNB '16,B,1,8,27,CAIGE 1,37:ZBS15,6,5
SFNB '16,B,1,8,28,CAIGE 1,38:ZBS15,6,7
SFNB '16,B,1,8,29,CAIGE 1,39:ZBS15,6,7
SFNB '16,B,1,8,30,CAIGE 1,40:ZBS15,6,7
SFNB '16,B,1,8,31,CAIGE 1,42:ZBS15,7,6
SFNB '16,B,1,8,32,CAIGE 1,43:ZBS15,7,5
SFNB '16,B,1,8,33,Control,Fathom,3,3
SFNB '16,B,1,8,34,CAIGE 1,44:ZBS15,6,6
SFNB '16,B,1,8,35,CAIGE 1,46:ZBS15,5,5
SFNB '16,B,1,8,36,CAIGE 1,47:ZBS15,7,7
SFNB '16,B,1,8,37,CAIGE 1,51:ZBS15,7,7
SFNB '16,B,1,8,38,CAIGE 1,54:ZBS15,6,6
SFNB '16,B,1,8,39,CAIGE 1,55:ZBS15,6,5
SFNB '16,B,1,8,40,CAIGE 1,56:ZBS15,6,7
SFNB '16,B,1,8,41,Control,Hindmarsh,8,8
SFNB '16,B,1,8,42,CAIGE 1,57:ZBS15,6,6
SFNB '16,B,1,8,43,CAIGE 1,58:ZBS15,5,6
SFNB '16,B,1,8,44,CAIGE 1,59:ZBS15,6,6
SFNB '16,B,1,8,45,CAIGE 1,61:ZBS15,5,5
SFNB '16,B,1,8,46,CAIGE 1,62:ZBS15,5,6
SFNB '16,B,1,8,47,CAIGE 1,63:ZBS15,4,6
SFNB '16,B,1,8,48,Control,Buloke,6,6
SFNB '16,B,1,9,25,Control,SY Rattler,7,7
SFNB '16,B,1,9,26,CAIGE 1,64:ZBS15,6,6
SFNB '16,B,1,9,27,CAIGE 1,65:ZBS15,5,6
SFNB '16,B,1,9,28,CAIGE 1,66:ZBS15,6,6
SFNB '16,B,1,9,29,CAIGE 1,67:ZBS15,5,6
SFNB '16,B,1,9,30,CAIGE 1,68:ZBS15,5,6
SFNB '16,B,1,9,31,CAIGE 1,69:ZBS15,5,6
SFNB '16,B,1,9,32,CAIGE 1,70:ZBS15,4,7
SFNB '16,B,1,9,33,Control,SY Rattler,7,6
SFNB '16,B,1,9,34,CAIGE 1,71:ZBS15,7,7
SFNB '16,B,1,9,35,CAIGE 1,72:ZBS15,5,6
SFNB '16,B,1,9,36,CAIGE 1,74:ZBS15,5,6
SFNB '16,B,1,9,37,CAIGE 1,75:ZBS15,6,6
SFNB '16,B,1,9,38,CAIGE 1,76:ZBS15,6,4
SFNB '16,B,1,9,39,CAIGE 1,79:ZBS15,6,7
SFNB '16,B,1,9,40,CAIGE 1,80:ZBS15,6,5
SFNB '16,B,1,9,41,Control,Dash,8,8
SFNB '16,B,1,9,42,CAIGE 1,82:ZBS15,5,6
SFNB '16,B,1,9,43,CAIGE 1,83:ZBS15,6,6
SFNB '16,B,1,9,44,CAIGE 1,84:ZBS15,4,6
SFNB '16,B,1,9,45,CAIGE 1,85:ZBS15,5,3
SFNB '16,B,1,9,46,CAIGE 1,86:ZBS15,5,6
SFNB '16,B,1,9,47,CAIGE 1,87:ZBS15,6,6
SFNB '16,B,1,9,48,Control,La Trobe,7,6
SFNB '16,B,1,10,25,Control,Keel ,3,3
SFNB '16,B,1,10,26,CAIGE 1,88:ZBS15,7,6
SFNB '16,B,1,10,27,CAIGE 1,89:ZBS15,5,6
SFNB '16,B,1,10,28,CAIGE 1,90:ZBS15,5,6
SFNB '16,B,1,10,29,CAIGE 1,2:ZIB15,7,8
SFNB '16,B,1,10,30,CAIGE 1,3:ZIB15,7,7
SFNB '16,B,1,10,31,CAIGE 1,4:ZIB15,6,7
SFNB '16,B,1,10,32,CAIGE 1,6:ZIB15,6,7
SFNB '16,B,1,10,33,Control,Compass,6,6
SFNB '16,B,1,10,34,CAIGE 1,7:ZIB15,7,7
SFNB '16,B,1,10,35,CAIGE 1,8:ZIB15,7,7
SFNB '16,B,1,10,36,CAIGE 1,9:ZIB15,5,6
SFNB '16,B,1,10,37,CAIGE 1,10:ZIB15,6,6
SFNB '16,B,1,10,38,CAIGE 1,11:ZIB15,3,3
SFNB '16,B,1,10,39,CAIGE 1,13:ZIB15,5,4
SFNB '16,B,1,10,40,CAIGE 1,14:ZIB15,5,7
SFNB '16,B,1,10,41,Control,Schooner,4,6
SFNB '16,B,1,10,42,CAIGE 1,15:ZIB15,4,5
SFNB '16,B,1,10,43,CAIGE 1,16:ZIB15,5,6
SFNB '16,B,1,10,44,CAIGE 1,17:ZIB15,6,5
SFNB '16,B,1,10,45,CAIGE 1,18:ZIB15,3,4
SFNB '16,B,1,10,46,CAIGE 1,19:ZIB15,6,6
SFNB '16,B,1,10,47,CAIGE 1,20:ZIB15,6,6
SFNB '16,B,1,10,48,Control,La Trobe,6,6
SFNB '16,B,1,12,25,Control,Fleet,4,4
SFNB '16,B,1,12,26,CAIGE 1,21:ZIB15,6,3
SFNB '16,B,1,12,27,CAIGE 1,22:ZIB15,3,5
SFNB '16,B,1,12,28,CAIGE 1,23:ZIB15,5,4
SFNB '16,B,1,12,29,CAIGE 1,24:ZIB15,5,6
SFNB '16,B,1,12,30,CAIGE 1,1:ZIC15,7,6
SFNB '16,B,1,12,31,CAIGE 1,3:ZIC15,5,6
SFNB '16,B,1,12,32,CAIGE 1,4:ZIC15,6,8
SFNB '16,B,1,12,33,Control,La Trobe,6,8
SFNB '16,B,1,12,34,CAIGE 1,5:ZIC15,6,6
SFNB '16,B,1,12,35,CAIGE 1,6:ZIC15,6,6
SFNB '16,B,1,12,36,CAIGE 1,7:ZIC15,6,5
SFNB '16,B,1,12,37,CAIGE 1,8:ZIC15,6,6
SFNB '16,B,1,12,38,CAIGE 1,9:ZIC15,6,6
SFNB '16,B,1,12,39,CAIGE 1,10:ZIC15,6,6
SFNB '16,B,1,12,40,CAIGE 1,12:ZIC15,7,7
SFNB '16,B,1,12,41,Control,SY Rattler,7,7
SFNB '16,B,1,12,42,CAIGE 1,13:ZIC15,6,6
SFNB '16,B,1,12,43,CAIGE 1,14:ZIC15,7,6
SFNB '16,B,1,12,44,CAIGE 1,15:ZIC15,6,7
SFNB '16,B,1,12,45,CAIGE 1,16:ZIC15,6,6
SFNB '16,B,1,12,46,CAIGE 1,17:ZIC15,7,6
SFNB '16,B,1,12,47,CAIGE 1,19:ZIC15,6,6
SFNB '16,B,1,12,48,Control,Buloke,6,6
SFNB '16,B,1,13,25,Control,Fleet,4,4
SFNB '16,B,1,13,26,CAIGE 1,20:ZIC15,5,6
SFNB '16,B,1,13,27,CAIGE 1,21:ZIC15,3,6
SFNB '16,B,1,13,28,CAIGE 1,23:ZIC15,6,6
SFNB '16,B,1,13,29,CAIGE 1,24:ZIC15,6,6
SFNB '16,B,1,13,30,CAIGE 1,125:ZID14,6,7
SFNB '16,B,1,13,31,CAIGE 1,1:ZIE14,7,6
SFNB '16,B,1,13,32,CAIGE 1,9:ZIE14,6,6
SFNB '16,B,1,13,33,Control,Compass,6,6
SFNB '16,B,1,13,34,CAIGE 1,11:ZIE14,6,6
SFNB '16,B,1,13,35,CAIGE 1,13:ZIE14,6,7
SFNB '16,B,1,13,36,CAIGE 1,18:ZIE14,6,6
SFNB '16,B,1,13,37,CAIGE 1,19:ZIE14,6,6
SFNB '16,B,1,13,38,CAIGE 1,20:ZIE14,7,6
SFNB '16,B,1,13,39,CAIGE 1, ICARDA003,4,4
SFNB '16,B,1,13,40,CAIGE 1, ICARDA009,3,3
SFNB '16,B,1,13,41,Control,Fathom,2,3
SFNB '16,B,1,13,42,CAIGE 1, ICARDA012,5,3
SFNB '16,B,1,13,43,CAIGE 1, ICARDA016,5,5
SFNB '16,B,1,13,44,CAIGE 1, ICARDA023,5,4
SFNB '16,B,1,13,45,CAIGE 1, ICARDA026,6,6
SFNB '16,B,1,13,46,CAIGE 1, ICARDA068,6,5
SFNB '16,B,1,13,47,CAIGE 1, ISBONLRAM-052,4,4
SFNB '16,B,1,13,48,Control,Buloke,6,6
SFNB '16,B,1,14,25,Control,Dash,8,8
SFNB '16,B,1,14,26,CAIGE 1, ISBONLRAM-083,6,7
SFNB '16,B,1,14,27,CAIGE 1, ISBONLRAM-107,7,6
SFNB '16,B,1,14,28,CAIGE 1, ISBYTLRAC-003,7,5
SFNB '16,B,1,14,29,CAIGE 1, ISBYTLRAC-004,6,5
SFNB '16,B,1,14,30,CAIGE 1, ISBYTLRAC-015,3,3
SFNB '16,B,1,14,31,CAIGE 1, ISBYTLRAC-019-24,3,3
SFNB '16,B,1,14,32,CAIGE 1, ISBYTLRAM-004,3,4
SFNB '16,B,1,14,33,Control,La Trobe,6,6
SFNB '16,B,1,14,48,Control,Gairdner,,
SFNB '16,B,1,15,25,Control,Fathom,2,3
SFNB '16,B,1,15,26,CAIGE 2,2:ZIB14,6,6
SFNB '16,B,1,15,27,CAIGE 2,18:ZIB14,5,6
SFNB '16,B,1,15,28,CAIGE 2,19:ZIB14,3,5
SFNB '16,B,1,15,29,CAIGE 2,23:ZIB14,6,5
SFNB '16,B,1,15,30,CAIGE 2,24:ZIB14,6,6
SFNB '16,B,1,15,31,CAIGE 2,13:ZIC14,5,6
SFNB '16,B,1,15,32,CAIGE 2,18:ZIC14,5,7
SFNB '16,B,1,15,33,Control,Fleet,4,4
SFNB '16,B,1,15,34,CAIGE 2,5:ZID14,6,7
SFNB '16,B,1,15,35,CAIGE 2,6:ZID14,5,7
SFNB '16,B,1,15,36,CAIGE 2,15:ZID14,5,nfnb
SFNB '16,B,1,15,37,CAIGE 2,16:ZID14,5,6
SFNB '16,B,1,15,38,CAIGE 2,23:ZID14,4,nfnb
SFNB '16,B,1,15,39,CAIGE 2,27:ZID14,5,8
SFNB '16,B,1,15,40,CAIGE 2,32:ZID14,7,8
SFNB '16,B,1,15,41,Control,Keel ,3,nfnb
SFNB '16,B,1,15,42,CAIGE 2,35:ZID14,7,7
SFNB '16,B,1,15,43,CAIGE 2,44:ZID14,5,7
SFNB '16,B,1,15,44,CAIGE 2,45:ZID14,5,7
SFNB '16,B,1,15,45,CAIGE 2,49:ZID14,5,5
SFNB '16,B,1,15,46,CAIGE 2,52:ZID14,3,3
SFNB '16,B,1,15,47,CAIGE 2,54:ZID14,5,6
SFNB '16,B,1,15,48,Control,Dash,8,8
SFNB '16,B,1,16,25,Control,Compass,5,7
SFNB '16,B,1,16,26,CAIGE 2,63:ZID14,6,7
SFNB '16,B,1,16,27,CAIGE 2,74:ZID14,7,7
SFNB '16,B,1,16,28,CAIGE 2,75:ZID14,5,4
SFNB '16,B,1,16,29,CAIGE 2,77:ZID14,6,6
SFNB '16,B,1,16,30,CAIGE 2,83:ZID14,4,8
SFNB '16,B,1,16,31,CAIGE 2,86:ZID14,6,6
SFNB '16,B,1,16,32,CAIGE 2,109:ZID14,6,7
SFNB '16,B,1,16,33,Control,Schooner,5,5
SFNB '16,B,1,16,34,CAIGE 2,122:ZID14,3,nfnb
SFNB '16,B,1,16,35,CAIGE 2,123:ZID14,5,nfnb
SFNB '16,B,1,16,36,CAIGE 2,128:ZID14,6,nfnb
SFNB '16,B,1,16,37,CAIGE 2,132:ZID14,2,2
SFNB '16,B,1,16,38,CAIGE 2,133:ZID14,5,5
SFNB '16,B,1,16,39,CAIGE 2,136:ZID14,4,4
SFNB '16,B,1,16,40,CAIGE 2,144:ZID14,6,4
SFNB '16,B,1,16,41,Control,Keel ,3,3
SFNB '16,B,1,16,42,CAIGE 2,148:ZID14,3,6
SFNB '16,B,1,16,43,CAIGE 2,149:ZID14,4,6