Trial,Bay,Block,Range,Row,Expt_17,Name,scald 20/9/17 Z32-55
Scald '17,A,2,25,21,CAIGE,32:ZID14,6
Scald '17,A,2,25,22,CAIGE,5:LAN15,7
Scald '17,A,2,25,23,CAIGE,9:LAN15,7
Scald '17,A,2,25,24,Control,Compass,7
Scald '17,A,2,26,1,Control,Control,6
Scald '17,A,2,26,2,CAIGE,12:LAN15,6
Scald '17,A,2,26,3,CAIGE,15:LAN15,8
Scald '17,A,2,26,4,CAIGE,17:LAN15,6
Scald '17,A,2,26,5,CAIGE,21:LAN15,8
Scald '17,A,2,26,6,CAIGE,24:LAN15,6
Scald '17,A,2,26,7,CAIGE,14:ZBS15,5
Scald '17,A,2,26,8,CAIGE,15:ZBS15,4
Scald '17,A,2,26,9,Control,Yagan,7
Scald '17,A,2,26,10,CAIGE,19:ZBS15,4
Scald '17,A,2,26,11,CAIGE,22:ZBS15,4
Scald '17,A,2,26,12,CAIGE,35:ZBS15,4
Scald '17,A,2,26,13,CAIGE,41:ZBS15,7
Scald '17,A,2,26,14,CAIGE,45:ZBS15,2
Scald '17,A,2,26,15,CAIGE,48:ZBS15,3
Scald '17,A,2,26,16,CAIGE,49:ZBS15,5
Scald '17,A,2,26,17,Control,Yagan,8
Scald '17,A,2,26,18,CAIGE,50:ZBS15,2
Scald '17,A,2,26,19,CAIGE,52:ZBS15,3
Scald '17,A,2,26,20,CAIGE,53:ZBS15,7
Scald '17,A,2,26,21,CAIGE,60:ZBS15,7
Scald '17,A,2,26,22,CAIGE,78:ZBS15,7
Scald '17,A,2,26,23,CAIGE,81:ZBS15,8
Scald '17,A,2,26,24,Control,Hindmarsh,5
Scald '17,A,2,27,1,Control,Yagan,8
Scald '17,A,2,27,2,CAIGE,12:ZIB15,7
Scald '17,A,2,27,3,CAIGE,2:ZIC15,3
Scald '17,A,2,27,4,CAIGE,11:ZIC15,4
Scald '17,A,2,27,5,CAIGE,18:ZIC15,2
Scald '17,A,2,27,6,CAIGE,22:ZIC15,3
Scald '17,A,2,27,7,CAIGE,5:ZBS16,4
Scald '17,A,2,27,8,CAIGE,7:ZBS16,7
Scald '17,A,2,27,9,Control,Gairdner,6
Scald '17,A,2,27,10,CAIGE,8:ZBS16,4
Scald '17,A,2,27,11,CAIGE,13:ZBS16,8
Scald '17,A,2,27,12,CAIGE,16:ZBS16,5
Scald '17,A,2,27,13,CAIGE,18:ZBS16,6
Scald '17,A,2,27,14,CAIGE,20:ZBS16,8
Scald '17,A,2,27,15,CAIGE,21:ZBS16,5
Scald '17,A,2,27,16,CAIGE,23:ZBS16,7
Scald '17,A,2,27,17,Control,Schooner,6
Scald '17,A,2,27,18,CAIGE,31:ZBS16,m
Scald '17,A,2,27,19,CAIGE,34:ZBS16,6
Scald '17,A,2,27,20,CAIGE,37:ZBS16,7
Scald '17,A,2,27,21,CAIGE,46:ZBS16,8
Scald '17,A,2,27,22,CAIGE,56:ZBS16,m
Scald '17,A,2,27,23,CAIGE,67:ZBS16,7
Scald '17,A,2,27,24,Control,Yagan,8
Scald '17,A,2,28,1,Control,Schooner,6
Scald '17,A,2,28,2,CAIGE,81:ZBS16,6
Scald '17,A,2,28,3,CAIGE,85:ZBS16,5
Scald '17,A,2,28,4,CAIGE,86:ZBS16,5
Scald '17,A,2,28,5,CAIGE,87:ZBS16,8
Scald '17,A,2,28,6,CAIGE,88:ZBS16,7
Scald '17,A,2,28,7,CAIGE,89:ZBS16,m
Scald '17,A,2,28,8,CAIGE,90:ZBS16,8
Scald '17,A,2,28,9,Control,Westminster,3
Scald '17,A,2,28,10,CAIGE,91:ZBS16,7
Scald '17,A,2,28,11,CAIGE,92:ZBS16,7
Scald '17,A,2,28,12,CAIGE,93:ZBS16,7
Scald '17,A,2,28,13,CAIGE,94:ZBS16,6
Scald '17,A,2,28,14,CAIGE,95:ZBS16,5
Scald '17,A,2,28,15,CAIGE,96:ZBS16,3
Scald '17,A,2,28,16,CAIGE,97:ZBS16,7
Scald '17,A,2,28,17,Control,Yagan,8
Scald '17,A,2,28,18,CAIGE,98:ZBS16,5
Scald '17,A,2,28,19,CAIGE,99:ZBS16,7
Scald '17,A,2,28,20,CAIGE,100:ZBS16,6
Scald '17,A,2,28,21,CAIGE,2:ZBT16,5
Scald '17,A,2,28,22,CAIGE,3:ZBT16,4
Scald '17,A,2,28,23,CAIGE,4:ZBT16,4
Scald '17,A,2,28,24,Control,Yagan,8
Scald '17,A,2,29,1,Control,Schooner,7
Scald '17,A,2,29,2,CAIGE,7:ZBT16,6
Scald '17,A,2,29,3,CAIGE,8:ZBT16,8
Scald '17,A,2,29,4,CAIGE,9:ZBT16,5
Scald '17,A,2,29,5,CAIGE,11:ZBT16,7
Scald '17,A,2,29,6,CAIGE,12:ZBT16,7
Scald '17,A,2,29,7,CAIGE,17:ZBT16,m
Scald '17,A,2,29,8,CAIGE,18:ZBT16,7
Scald '17,A,2,29,9,Control,Yagan,8
Scald '17,A,2,29,10,CAIGE,20:ZBT16,6
Scald '17,A,2,29,11,CAIGE,21:ZBT16,7
Scald '17,A,2,29,12,CAIGE,22:ZBT16,6
Scald '17,A,2,29,13,CAIGE,24:ZBT16,6
Scald '17,A,2,29,14,CAIGE,28:ZBT16,5
Scald '17,A,2,29,15,CAIGE,30:ZBT16,6
Scald '17,A,2,29,16,CAIGE,37:ZBT16,6
Scald '17,A,2,29,17,Control,Compass,7
Scald '17,A,2,29,18,CAIGE,38:ZBT16,m
Scald '17,A,2,29,19,CAIGE,41:ZBT16,7
Scald '17,A,2,29,20,CAIGE,44:ZBT16,7
Scald '17,A,2,29,21,CAIGE,50:ZBT16,8
Scald '17,A,2,29,22,CAIGE,52:ZBT16,8
Scald '17,A,2,29,23,CAIGE,53:ZBT16,7
Scald '17,A,2,29,24,Control,Planet,6
Scald '17,A,2,30,1,Control,Compass,6
Scald '17,A,2,30,2,CAIGE,54:ZBT16,6
Scald '17,A,2,30,3,CAIGE,58:ZBT16,3
Scald '17,A,2,30,4,CAIGE,59:ZBT16,4
Scald '17,A,2,30,5,CAIGE,64:ZBT16,5
Scald '17,A,2,30,6,CAIGE,65:ZBT16,5
Scald '17,A,2,30,7,CAIGE,68:ZBT16,m
Scald '17,A,2,30,8,CAIGE,70:ZBT16,5
Scald '17,A,2,30,9,Control,Yagan,8
Scald '17,A,2,30,10,CAIGE,71:ZBT16,5
Scald '17,A,2,30,11,CAIGE,76:ZBT16,7
Scald '17,A,2,30,12,CAIGE,79:ZBT16,7
Scald '17,A,2,30,13,CAIGE,83:ZBT16,6
Scald '17,A,2,30,14,CAIGE,87:ZBT16,6
Scald '17,A,2,30,15,CAIGE,88:ZBT16,7
Scald '17,A,2,30,16,CAIGE,92:ZBT16,8
Scald '17,A,2,30,17,Control,Planet,5
Scald '17,A,2,30,18,CAIGE,94:ZBT16,6
Scald '17,A,2,30,19,CAIGE,97:ZBT16,7
Scald '17,A,2,30,20,CAIGE,98:ZBT16,5
Scald '17,A,2,30,21,CAIGE,100:ZBT16,7
Scald '17,A,2,30,22,CAIGE,102:ZBT16,7
Scald '17,A,2,30,23,CAIGE,103:ZBT16,6
Scald '17,A,2,30,24,Control,Gairdner,7
Scald '17,A,2,32,1,Control,Yagan,
Scald '17,A,2,32,2,CAIGE,108:ZBT16,7
Scald '17,A,2,32,3,CAIGE,110:ZBT16,5
Scald '17,A,2,32,4,CAIGE,116:ZBT16,8
Scald '17,A,2,32,5,CAIGE,119:ZBT16,6
Scald '17,A,2,32,6,CAIGE,124:ZBT16,5
Scald '17,A,2,32,7,CAIGE,125:ZBT16,7
Scald '17,A,2,32,8,CAIGE,126:ZBT16,m
Scald '17,A,2,32,9,Control,Compass,6
Scald '17,A,2,32,10,CAIGE,129:ZBT16,6
Scald '17,A,2,32,11,CAIGE,132:ZBT16,5
Scald '17,A,2,32,12,CAIGE,135:ZBT16,6
Scald '17,A,2,32,13,CAIGE,136:ZBT16,6
Scald '17,A,2,32,14,CAIGE,142:ZBT16,7
Scald '17,A,2,32,15,CAIGE,145:ZBT16,5
Scald '17,A,2,32,16,CAIGE,148:ZBT16,4
Scald '17,A,2,32,17,Control,Control,7
Scald '17,A,2,32,18,CAIGE,150:ZBT16,5
Scald '17,A,2,32,19,CAIGE,152:ZBT16,4
Scald '17,A,2,32,20,CAIGE,153:ZBT16,4
Scald '17,A,2,32,21,CAIGE,155:ZBT16,3
Scald '17,A,2,32,22,CAIGE,157:ZBT16,2
Scald '17,A,2,32,23,CAIGE,158:ZBT16,7
Scald '17,A,2,32,24,Control,Gairdner,m
Scald '17,A,2,33,1,Control,Planet,4
Scald '17,A,2,33,2,CAIGE,163:ZBT16,5
Scald '17,A,2,33,3,CAIGE,169:ZBT16,5
Scald '17,A,2,33,4,CAIGE,175:ZBT16,5
Scald '17,A,2,33,5,CAIGE,177:ZBT16,5
Scald '17,A,2,33,6,CAIGE,179:ZBT16,6
Scald '17,A,2,33,7,CAIGE,180:ZBT16,5
Scald '17,A,2,33,8,CAIGE,182:ZBT16,6
Scald '17,A,2,33,9,Control,Yagan,8
Scald '17,A,2,33,10,CAIGE,183:ZBT16,5
Scald '17,A,2,33,11,CAIGE,188:ZBT16,6
Scald '17,A,2,33,12,CAIGE,191:ZBT16,4
Scald '17,A,2,33,13,CAIGE,196:ZBT16,4
Scald '17,A,2,33,14,CAIGE,208:ZBT16,5
Scald '17,A,2,33,15,CAIGE,210:ZBT16,5
Scald '17,A,2,33,16,CAIGE,211:ZBT16,6
Scald '17,A,2,33,17,Control,Planet,4
Scald '17,A,2,33,18,CAIGE,214:ZBT16,6
Scald '17,A,2,33,19,CAIGE,220:ZBT16,4
Scald '17,A,2,33,20,CAIGE,221:ZBT16,5
Scald '17,A,2,33,21,CAIGE,223:ZBT16,6
Scald '17,A,2,33,22,CAIGE,226:ZBT16,4
Scald '17,A,2,33,23,CAIGE,229:ZBT16,4
Scald '17,A,2,33,24,Control,Westminster,m
Scald '17,A,2,34,1,Control,Yagan,7
Scald '17,A,2,34,2,CAIGE,231:ZBT16,3
Scald '17,A,2,34,3,CAIGE,1:ZIB16,8
Scald '17,A,2,34,4,CAIGE,2:ZIB16,6
Scald '17,A,2,34,5,CAIGE,3:ZIB16,8
Scald '17,A,2,34,6,CAIGE,5:ZIB16,6
Scald '17,A,2,34,7,CAIGE,6:ZIB16,m
Scald '17,A,2,34,8,CAIGE,7:ZIB16,6
Scald '17,A,2,34,9,Control,Control,7
Scald '17,A,2,34,10,CAIGE,8:ZIB16,6
Scald '17,A,2,34,11,CAIGE,9:ZIB16,6
Scald '17,A,2,34,12,CAIGE,10:ZIB16,5
Scald '17,A,2,34,13,CAIGE,12:ZIB16,5
Scald '17,A,2,34,14,CAIGE,13:ZIB16,8
Scald '17,A,2,34,15,CAIGE,14:ZIB16,5
Scald '17,A,2,34,16,CAIGE,15:ZIB16,7
Scald '17,A,2,34,17,Control,Yagan,7
Scald '17,A,2,34,18,CAIGE,16:ZIB16,3
Scald '17,A,2,34,19,CAIGE,17:ZIB16,7
Scald '17,A,2,34,20,CAIGE,18:ZIB16,8
Scald '17,A,2,34,21,CAIGE,19:ZIB16,6
Scald '17,A,2,34,22,CAIGE,20:ZIB16,6
Scald '17,A,2,34,23,CAIGE,1:ZIC16,3
Scald '17,A,2,34,24,Control,Hindmarsh,2
Scald '17,A,2,35,1,Control,Planet,5
Scald '17,A,2,35,2,CAIGE,2:ZIC16,6
Scald '17,A,2,35,3,CAIGE,3:ZIC16,3
Scald '17,A,2,35,4,CAIGE,4:ZIC16,2
Scald '17,A,2,35,5,CAIGE,5:ZIC16,2
Scald '17,A,2,35,6,CAIGE,6:ZIC16,2
Scald '17,A,2,35,7,CAIGE,7:ZIC16,m
Scald '17,A,2,35,8,CAIGE,8:ZIC16,5
Scald '17,A,2,35,9,Control,Planet,4
Scald '17,A,2,35,10,CAIGE,9:ZIC16,6
Scald '17,A,2,35,11,CAIGE,10:ZIC16,6
Scald '17,A,2,35,12,CAIGE,11:ZIC16,5
Scald '17,A,2,35,13,CAIGE,12:ZIC16,5
Scald '17,A,2,35,14,CAIGE,13:ZIC16,4
Scald '17,A,2,35,15,CAIGE,15:ZIC16,4
Scald '17,A,2,35,16,CAIGE,16:ZIC16,5
Scald '17,A,2,35,17,Control,Compass,7
Scald '17,A,2,35,18,CAIGE,17:ZIC16,3
Scald '17,A,2,35,19,CAIGE,21:ZIC16,5
Scald '17,A,2,35,20,CAIGE,22:ZIC16,4
Scald '17,A,2,35,21,CAIGE,1:LAN16,6
Scald '17,A,2,35,22,CAIGE,2:LAN16,4
Scald '17,A,2,35,23,CAIGE,3:LAN16,3
Scald '17,A,2,35,24,Control,Westminster,3
Scald '17,A,2,36,1,Control,Gairdner,8
Scald '17,A,2,36,2,CAIGE,4:LAN16,6
Scald '17,A,2,36,3,CAIGE,5:LAN16,7
Scald '17,A,2,36,4,CAIGE,6:LAN16,m
Scald '17,A,2,36,5,CAIGE,7:LAN16,m
Scald '17,A,2,36,6,CAIGE,8:LAN16,4
Scald '17,A,2,36,7,CAIGE,9:LAN16,m
Scald '17,A,2,36,8,CAIGE,10:LAN16,m
Scald '17,A,2,36,9,Control,Yagan,8
Scald '17,A,2,36,10,CAIGE,11:LAN16,6
Scald '17,A,2,36,11,CAIGE,12:LAN16,6
Scald '17,A,2,36,12,CAIGE,13:LAN16,5
Scald '17,A,2,36,13,CAIGE,14:LAN16,5
Scald '17,A,2,36,14,CAIGE,15:LAN16,2
Scald '17,A,2,36,15,CAIGE,16:LAN16,6
Scald '17,A,2,36,16,CAIGE,17:LAN16,7
Scald '17,A,2,36,17,Control,Planet,6
Scald '17,A,2,36,18,CAIGE,18:LAN16,8
Scald '17,A,2,36,19,CAIGE,19:LAN16,4
Scald '17,A,2,36,20,CAIGE,20:LAN16,6
Scald '17,A,2,36,21,CAIGE,21:LAN16,3
Scald '17,A,2,36,22,CAIGE,22:LAN16,2
Scald '17,A,2,36,23,CAIGE,23:LAN16,2
Scald '17,A,2,36,24,Control,Compass,7
Scald '17,A,2,37,1,Control,Westminster,3
Scald '17,A,2,37,2,CAIGE,24:LAN16,2
Scald '17,A,2,37,3,CAIGE,25:LAN16,4
Scald '17,A,2,37,4,CAIGE,26:LAN16,8
Scald '17,A,2,37,5,CAIGE,27:LAN16,4
Scald '17,A,2,37,6,CAIGE,28:LAN16,6
Scald '17,A,2,37,7,CAIGE,29:LAN16,m
Scald '17,A,2,37,8,CAIGE,30:LAN16,6
Scald '17,A,2,37,9,Control,Schooner,6
Scald '17,A,2,37,10,CAIGE,31:LAN16,6
Scald '17,A,2,37,11,CAIGE,32:LAN16,5
Scald '17,A,2,37,12,CAIGE,33:LAN16,7
Scald '17,A,2,37,13,CAIGE,34:LAN16,m
Scald '17,A,2,37,14,CAIGE,35:LAN16,6
Scald '17,A,2,37,15,CAIGE,36:LAN16,7
Scald '17,A,2,37,16,CAIGE,37:LAN16,8
Scald '17,A,2,37,17,Control,Schooner,7
Scald '17,A,2,37,18,CAIGE,38:LAN16,6
Scald '17,A,2,37,19,CAIGE,39:LAN16,6
Scald '17,A,2,37,20,CAIGE,40:LAN16,8
Scald '17,A,2,37,21,CAIGE,41:LAN16,8
Scald '17,A,2,37,22,CAIGE,42:LAN16,8
Scald '17,A,2,37,23,CAIGE,43:LAN16,8
Scald '17,A,2,37,24,Control,Westminster,3